Day,cum_case
1,548
2,643
3,920
4,1406
5,2075
6,2877
7,5509
8,6087
9,8141
10,9802
11,11891
12,16630
13,19716
14,23707
15,27440
16,30587
17,34110
18,36814
19,39829
20,42354
21,44386
22,44759
23,59895
24,66358
25,68413
26,70513
27,72434
28,74211
29,74619
30,75077
31,75550
32,77001
33,77022
34,77241
35,77754
36,78166
37,78600
38,78928
39,79356
40,79932
41,80136
42,80261
43,80386
44,80537
45,80690
46,80770
47,80823
48,80860
49,80887
50,80921
51,80932
52,80945
53,80977
54,81003
55,81033
56,81058
57,81102
58,81156
59,81250
60,81305
61,81435
62,81498
63,81591
64,81661
65,81782
66,81897
67,81999
68,82122
69,82198
70,82279
71,82361
72,82432
73,82511
74,82543
75,82602
76,82665
77,82718
78,82809
79,82883
80,82941
81,83014
82,83134
83,83213
84,83306
85,83356
86,83403
87,83760
88,83787
89,83805
90,83817
91,83853
92,83868
93,83884
94,83899
95,83909
96,83912
97,83918
98,83940
99,83944
100,83956
101,83959
102,83959
103,83964
104,83966
105,83968
106,83970
107,83975
108,83976
109,83990
110,84010
111,84011
112,84018
113,84024
114,84029
115,84038
116,84044
117,84054
118,84063
119,84063
120,84063
121,84063
